"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15286","SignUp test validuser","chromium","2026-04-02","passed","2026-04-02","","regression\signUp.spec.ts","",""
"","8001","Login test validuser","webkit","2026-04-02","passed","2026-04-02","","sanity\login.spec.ts","",""
"","17505","SignUp test validuser","webkit","2026-04-02","passed","2026-04-02","","regression\signUp.spec.ts","",""
"","720","login should succeed","webkit","2026-04-02","passed","2026-04-02","","api\loginAPI.spec.ts","",""
"","401","get testimonials should succeed","chromium","2026-04-02","passed","2026-04-02","","api\testimonials.spec.ts","",""
"","7397","Login test validuser","firefox","2026-04-02","passed","2026-04-02","","sanity\login.spec.ts","",""
"","781","login should succeed","chromium","2026-04-02","passed","2026-04-02","","api\loginAPI.spec.ts","",""
"","20113","Login test invaliduser","firefox","2026-04-02","passed","2026-04-02","","sanity\login.spec.ts","",""
"","322","get testimonials should succeed","webkit","2026-04-02","passed","2026-04-02","","api\testimonials.spec.ts","",""
"","372","get testimonials should succeed","firefox","2026-04-02","passed","2026-04-02","","api\testimonials.spec.ts","",""
"","20351","SignUp test validuser","firefox","2026-04-02","passed","2026-04-02","","regression\signUp.spec.ts","",""
"","6782","Login test validuser","chromium","2026-04-02","passed","2026-04-02","","sanity\login.spec.ts","",""
"","812","login should succeed","firefox","2026-04-02","passed","2026-04-02","","api\loginAPI.spec.ts","",""
"","6324","Login test invaliduser","webkit","2026-04-02","passed","2026-04-02","","sanity\login.spec.ts","",""
"","5313","Login test invaliduser","chromium","2026-04-02","passed","2026-04-02","","sanity\login.spec.ts","",""
